Swing_ratio,Phase_shift,Single Hop time,Single Hop D,3 hops time,3 hops D,avr speed
0.5,-0.3,,0.5881,,1.8182,#DIV/0!
,,,,,,
,,,,,,
0.5,-0.6,0.4562,0.6144,1.3587,1.9147,1.409214691
,,,,,,
0.5,-0.9,0.4192,0.5096,,,#DIV/0!
0.9,-0.9,0.4322,0.5683,1.3027,1.7023,1.306747524
0.1,0.9,0.4242,0.4686,1.2706,1.3699,1.078152054
0.5,0.9,0.4262,0.471,1.2786,1.3818,1.08071328
0.9,0.9,0.4222,0.4667,1.2716,1.3782,1.083831394
0.5,0.3,0.4492,0.3778,1.3467,1.0363,0.769510656
0.9,0.3,0.4092,0.3818,1.2416,1.1315,0.911324098
0.1,-0.6,0.4532,0.5911,1.3677,1.7277,1.263215617
,,,,,,
,,,,,,
0.9,-0.6,0.3952,0.4639,1.1886,1.3476,1.133770823
,,,,,,
0.5,0.6,0.3892,0.3797,1.1696,1.0596,0.905950752
0.9,0.6,0.3862,0.4083,1.1616,1.18,1.01584022
0.1,0,0.4232,0.452,1.3427,1.4022,1.044313696
,,,,,,
0.9,0,0.4412,0.427,,,#DIV/0!
0.1,1,0.4532,0.4744,,,#DIV/0!
